id,name,ostan,shahrestan,bakhsh,amar_code
79,ابریشم,4,310,611,1008020001
80,ابوالحیات,17,350,514,733020002
81,ابوالفارس,13,205,14,610050001
82,ابوالوردی,17,105,126,723020001
83,ابوغویر,6,196,258,1603050002
84,ابهررود,14,18,779,1901030001
85,اترک,12,384,573,2806020001
86,اترک,24,371,250,2706020001
87,اجارودشرقی,3,365,1036,2405050001
88,اجارودشمالی,3,365,591,2405040005
89,اجارودغربی,3,365,591,2405040002
90,اجارودمرکزی,3,365,591,2405040003
91,احمد آباد مستوفی,8,33,15,2310030001
92,احمدآباد,5,422,624,3003010001
93,احمدآباد,2,122,141,412020001
94,احمدآباد,17,39,216,703030001
95,احمدآباد,17,314,841,709030001
96,احمدسرگوراب,25,274,17,112010001
97,احمدفداله,13,183,403,608040002
98,احمدی,29,149,18,2208030001
99,اخترآباد,8,397,412,2317020002
100,اختیارآباد,21,338,887,808050001
101,اخند,7,294,680,1810010002
102,ادیمی,16,434,814,1115010001
103,ارجستان,3,249,332,2410020002
104,اردلان,1,239,1041,305020001
105,اردوغش,11,432,310,917020001
106,ارزوییه,21,24,870,823010001
107,ارزیل,1,436,225,324010001
108,ارژنگ,17,245,69,732020002
109,ارسک,10,76,23,2908020001
110,ارسی,1,132,641,319020002
111,ارشق شرقی,3,20,584,2401010001
112,ارشق شمالی,3,395,24,2404010001
113,ارشق غربی,3,395,580,2404040001
114,ارشق مرکزی,3,395,24,2404010003
115,ارکوازی,6,53,205,1601020001
116,ارم,7,185,25,1803040001
117,ارمند,9,153,26,1410020001
118,ارمو,6,182,630,1602030001
119,ارنان,31,409,1019,2104010001
120,ارودان,17,406,851,721020004
121,ازغند,11,403,378,930010001
122,ازگله,22,128,28,512020001
123,ازنا,26,157,949,1503060001
124,ازومدل جنوبی,1,436,655,324020001
125,ازومدل شمالی,1,436,655,324020002
126,اسالم,25,291,29,104050001
127,اسبوکلا,27,55,956,202020004
128,اسپران,1,115,640,303030002
129,استای,11,285,178,940020002
130,استبرق,21,279,882,807010001
131,استخرپشت,27,424,1089,219020001
132,استرآباد,24,295,498,2703020001
133,استرآبادجنوبی,24,362,924,2705020001
134,استرآبادشمالی,24,362,108,2705030001
135,اسحق آباد,11,432,310,917020002
136,اسفرجان,4,280,608,1009020001
137,اسفندار,31,16,109,2107010001
138,اسفندان,28,344,987,11010001
139,اسفندقه,21,138,31,803060001
140,اسفندک,16,240,1043,1106060002
141,اسفیوردشوراب,27,233,963,207030001
142,اسکل آباد,16,120,796,1121010001
143,اسلام آباد,3,103,32,2406040001
144,اسلام آباد,21,138,874,803040002
145,اسلام آباد,21,227,880,805020001
146,اسلام آباد,25,211,360,105020001
147,اسلامیه,21,214,877,804020002
148,اسماعیل آباد,8,94,104,2319020001
149,اسماعیل آباد,16,152,798,1103010006
150,اسماعیلی,21,138,34,803050001
151,اسماعیلیه جنوبی,13,49,35,603040002
152,اسماعیلیه شمالی,13,49,35,603040001
153,اسیر,17,406,36,721040001
154,اشترجان,4,310,611,1008020004
155,اشترینان,26,71,37,1502010001
156,اشتین,11,57,71,937020002
157,اشکنان,17,375,38,715030001
158,اشکور,27,203,962,206010004
159,اشکور سفلی,25,219,282,107020001
160,اشکور علیا و سیارستاق ییلاق,25,219,282,107020002
161,اشن,4,419,1042,1014030001
162,اشنویه جنوبی,2,36,1059,413020001
163,اشنویه شمالی,2,36,657,413010001
164,اشیان,4,378,614,1012030001
165,اصلاندوز شرقی,3,38,585,2411010003
166,اصلاندوز غربی,3,38,585,2411010001
167,اطاقور,25,380,39,110020001
168,افرینه,26,109,1030,1508020001
169,افزر,17,329,40,720010001
170,افشار,2,122,661,412010001
171,افشاریه,18,113,234,2602020001
172,افین,10,232,321,2909020001
173,اقبال شرقی,18,322,858,2603050001
174,اقبال غربی,18,322,858,2603050002
175,اک,18,113,30,2602010001
176,اکبرآباد,16,447,450,1111020002
177,الغچین,23,145,895,1706010002
178,القورات,10,99,707,2901040001
179,الله اکبر,13,184,766,609020001
180,الموت بالا,18,322,288,2603020001
181,الموت پایین,18,322,288,2603020002
182,المهدی,2,423,577,409030001
183,المهدی,30,398,183,1302010001
184,الند,2,174,413,403030001
185,الوارس,3,249,589,2410010002
186,الوند,14,159,782,1907010001
187,الوند,22,324,910,506020001
188,الوندکوه شرقی,30,443,1011,1304070002
189,الوندکوه غربی,30,443,1011,1304070003
190,الویر,28,228,232,10010001
191,اله آباد,31,448,304,2105040001
192,الهایی,13,49,755,603020002
193,امام,20,252,43,1203040001
194,امامزاده آقاعلی عباس,4,421,45,1015020001
195,امامزاده ابوطالب,8,208,688,2312020001
196,امامزاده جعفر,23,360,898,1703020001
197,امامزاده حمزه علی,9,72,91,1401040001
198,امامزاده سیدمحمود,13,183,403,608040003
199,امامزاده عبدالعزیز,4,37,168,1002060001
200,امامزاده عبدالله جنوبی,27,307,270,223010002
201,امامزاده عبدالله شمالی,27,307,270,223010001
202,امامزاده علی (ع),17,226,280,730020002
203,امامزاده محمد,17,331,237,710060001
204,امان آباد,28,19,977,1020001
205,امجز,21,296,883,812010001
206,املش جنوبی,25,42,929,113020001
207,املش شمالی,25,42,929,113020002
208,امیرآباد,20,334,1034,1208020001
209,امیرآباد,21,24,414,823020002
210,امیریه,28,19,977,1020002
211,اناج,28,168,452,12010001
212,اناران,6,196,631,1603020001
213,انارستان,7,133,301,1809010001
214,انارستان,17,331,843,710040004
215,انجیرآب,24,362,924,2705020003
216,انجیرلو,3,101,586,2402010001
217,اندوهجرد,21,338,400,808020001
218,انده,16,415,812,1117010004
219,انزان شرقی,24,83,917,2701010001
220,انزان غربی,24,83,917,2701010002
221,انزل جنوبی,2,26,51,401010001
222,انزل شمالی,2,26,51,401010002
223,انصار,2,122,661,412010002
224,انگالی,7,88,673,1801020001
225,انگوت شرقی,3,365,52,2405010001
226,انگوت غربی,3,365,52,2405010002
227,انگوران,14,385,53,1909010001
228,انی,3,365,591,2405040004
229,اوباتو,20,199,484,1207010001
230,اوجان شرقی,1,73,150,313010001
231,اوجان غربی,1,73,638,313020001
232,اوچ تپه شرقی,1,413,651,310040001
233,اوچ تپه غربی,1,413,142,310010001
234,اوچ هاچا,1,48,637,302020002
235,اورامان تخت,20,250,54,1209010001
236,اوریاد,14,385,786,1909020001
237,اوز,17,47,820,736010002
238,اوزرود,27,426,92,214010001
239,اوشیان,25,219,187,107040001
240,اولتان,3,103,587,2406010004
241,اولی,7,197,678,1805020003
242,اهرم,7,124,674,1802020001
243,اهلمرستاق جنوبی,27,388,972,218020001
244,اهلمرستاق شمالی,27,388,972,218020002
245,ایپک,5,34,619,3005010002
246,ایتیوندجنوبی,26,188,472,1504010001
247,ایتیوندشمالی,26,188,472,1504010002
248,ایثار,31,151,1022,2109020001
249,ایج,17,28,818,702020001
250,ایجرودبالا,14,50,780,1906020001
251,ایجرودپایین,14,50,218,1906010001
252,ایرافشان,16,408,10,1113020002
253,ایرندگان,16,152,55,1103030001
254,ایزدخواست,17,2,821,701040001
255,ایزدخواست شرقی,17,229,56,719010001
256,ایزدخواست غربی,17,229,56,719010002
257,ایسین,29,82,992,2202040001
258,ایل تیمور,2,89,658,410020002
259,ایل گورک,2,89,658,410020003
260,ایلات قاقازان شرقی,18,322,517,2603070001
261,ایلات قاقازان غربی,18,322,517,2603070002
262,ایوانکی,15,363,58,2004010002
263,ایواوغلی,2,174,59,403040001
264,باباافضل,4,332,82,1010050001
265,باباامان,12,65,745,2802040002
266,بابارشانی,20,98,204,1202010001
267,بابل کنار,27,55,61,202040001
268,بابلرود,27,56,957,216020002
269,بابویی,23,58,105,1707020001
270,باراندوز,2,26,656,401040001
271,باراندوزچای جنوبی,2,26,656,401040002
272,باراندوزچای شمالی,2,26,656,401040003
273,بارز,9,377,1032,1404040001
274,باروق,1,439,652,316020003
275,باروق,2,411,63,408050001
276,باریک رود جنوبی,27,307,968,223020002
277,باریک رود شمالی,27,307,968,223020001
278,بازان,22,134,904,509030003
279,بازرجان,28,121,979,3020001
280,بازفت بالا,9,353,65,1406010001
281,بازفت پایین,9,353,65,1406010003
282,بازکیاگوراب,25,376,942,111020002
283,بازوند,26,220,952,1511020002
284,باسک کولسه,2,248,665,404010002
285,باش قلعه,2,26,656,401040004
286,باشتین,11,178,66,939020001
287,باغ صفا,17,245,69,732020001
288,باغ کشمیر,11,285,733,940010001
289,باغان,17,167,579,724010001
290,باغستان,10,303,33,2907030001
291,باغستان,17,87,823,716020001
292,باغک,7,124,674,1802020002
293,باغلق,12,201,747,2808010002
294,باغلی ماراما,24,371,926,2706040002
295,باغین,21,338,887,808050002
296,بافران,4,418,616,1013030001
297,باقرآباد,28,387,988,9010001
298,باقران,10,99,707,2901040008
299,بالا دشت,12,364,750,2807010002
300,بالابند,11,308,734,922020001
301,بالاتجن,27,317,969,210020001
302,بالاجام,11,116,1063,906030001
303,بالاجوین,11,136,722,936010001
304,بالاخواف,11,169,352,919040001
305,بالاخیابان لیتکوه,27,14,46,201040001
306,بالادربند,22,339,911,502040001
307,بالاده,17,373,116,711050003
308,بالارخ,11,117,170,905070004
309,بالالاریجان,27,14,559,201010001
310,بالاولایت,11,57,71,937020001
311,بالاولایت,11,117,720,905060001
312,بالاولایت,11,333,737,914040001
313,بالش,17,175,831,705030001
314,بالغلو,3,20,584,2401010002
315,بام,12,30,72,2801010001
316,بان زرده,22,176,905,513020001
317,بانش,17,100,73,731020001
318,باوله,22,258,908,505010003
319,باویل,1,31,636,322020001
320,باهوکلات,16,187,74,1122020001
321,بایک,11,117,75,905010001
322,ببه جیک,2,141,662,414020003
323,بجستان,11,64,716,931010001
324,بجگان,21,402,9,813020001
325,بختاجرد,17,175,831,705030003
326,بختگان,17,66,822,735010002
327,بدر,20,321,867,1205020001
328,بدر,22,215,906,514020001
329,بدرانلو,12,65,745,2802040003
330,بدوستان شرقی,1,439,652,316020001
331,بدوستان غربی,1,439,245,316010001
332,برآفتاب,4,257,123,1005030002
333,براآن جنوبی,4,37,596,1002030001
334,براآن شمالی,4,37,596,1002030002
335,برادوست,2,26,416,401030001
336,براکوه,10,172,174,2910020001
337,بران,3,38,77,2411020001
338,بربرودشرقی,26,41,78,1501060001
339,بربرودغربی,26,41,79,1501050001
340,برج اکرم,21,313,885,819010001
341,برخوارشرقی,4,68,213,1022010001
342,برخوارغربی,4,272,607,1016030001
343,برخوارمرکزی,4,68,598,1022020002
344,بردخون,7,197,80,1805010001
345,برده سره,26,71,37,1502010002
346,بررود,11,354,81,941020001
347,برزاوند,4,21,595,1001010001
348,برزرود,4,421,618,1015010002
349,برزنون,11,432,349,917030003
350,برغان,5,235,203,3002030001
351,برف انبار,4,306,610,1007010001
352,برکوه,11,354,739,941010002
353,برنطین,29,216,118,2207040002
354,بروانان شرقی,1,413,142,310010002
355,بروانان غربی,1,413,142,310010003
356,بروانان مرکزی,1,413,142,310010004
357,برون,10,303,33,2907030002
358,بریاجی,2,248,665,404010003
359,بزکش,1,48,637,302020003
360,بزمان,16,52,84,1101010002
361,بزنجان,21,60,871,801030001
362,بزی,16,434,814,1115010002
363,بزینه رود,14,155,85,1903020001
364,بستان,11,169,359,919010003
365,بستان,13,184,86,609010001
366,بسطام,2,144,663,416020001
367,بسطاملو,1,154,643,326010001
368,بشاریات شرقی,18,4,88,2604010001
369,بشاریات غربی,18,4,88,2604010002
370,بشیوه پاطاق,22,244,907,504010007
371,بغراطی,30,209,344,1308010001
372,بفروییه,31,414,89,2106030001
373,بقمج,11,148,723,918020003
374,بکان,17,39,216,703030003
375,بکرآباد,1,436,655,324020003
376,بکش دو,17,401,850,713030001
377,بکش یک,17,401,850,713030002
378,بکشلوچای,2,26,656,401040005
379,بلده,27,123,233,205040001
380,بلده کجور,27,427,976,215040001
381,بلسبنه,25,211,503,105030001
382,بلوچی,16,242,1061,1123040002
383,بلوران,26,352,253,1506050001
384,بلورد,21,264,93,806050001
385,بلوکات,25,217,281,106010001
386,بله که,20,62,6,1201010003
387,بلهرات,11,432,1045,917050001
388,بلیان,17,331,843,710040001
389,بم پشت,16,240,94,1106050001
390,بمانی,29,266,95,2212010001
391,بمپورشرقی,16,78,795,1120010001
392,بمپورغربی,16,78,490,1120020001
393,بن معلی,13,276,770,614020001
394,بناب,1,391,649,307020001
395,بناب,14,230,783,1904050003
396,بناجوی شرقی,1,80,639,312010001
397,بناجوی شمالی,1,80,639,312010002
398,بناجوی غربی,1,80,639,312010003
399,بنادکوک,31,119,1078,2103030001
400,بنارویه,17,373,97,711070001
401,بنافت,27,233,265,207020001
402,بنت,16,433,98,1107010001
403,بنجار,16,223,802,1104040001
404,بندامیر,17,226,833,730010002
405,بندان,10,429,714,2905020001
406,بندر,29,416,358,2205020001
407,بندرامام خمینی,13,85,101,605010002
408,بندرچارک,29,84,405,2203020001
409,بندزرک,29,416,102,2205050001
410,بنستان,31,92,8,2111010002
411,بنفشه تپه,24,83,1076,2701020001
412,بنی صالح,13,446,1079,623010001
413,بوالحسن,20,62,1068,1201030003
414,بوالخیر,7,124,263,1802010001
415,بوچیر,29,104,994,2211020001
416,بورکی,17,331,237,710060002
417,بوزی,13,268,769,611010002
418,بوشکان,7,185,106,1803050001
419,بوغداکندی,14,230,783,1904050004
420,بولی,6,53,205,1601020002
421,بویراحمدگرمسیری,23,360,898,1703020002
422,بویین,20,62,1069,1201040001
423,بهادران,31,409,1019,2104010005
424,بهارستان,4,418,616,1013030002
425,بهدشت,29,104,508,2211010001
426,بهرام آباد,8,33,683,2310020004
427,بهرمان,21,214,1075,804040001
428,بهمن,17,2,110,701050002
429,بهمنشیرجنوبی,13,1,757,601020001
430,بهمنشیرشمالی,13,1,757,601020002
431,بهمیی سرحدی شرقی,23,355,271,1702060001
432,بهمیی سرحدی غربی,23,355,271,1702060002
433,بهمیی گرمسیری جنوبی,23,97,893,1705020001
434,بهمیی گرمسیری شمالی,23,97,111,1705010001
435,بهناباد,10,232,380,2909030002
436,بهنام پازوکی جنوبی,8,435,695,2306030001
437,بهنام عرب جنوبی,8,435,180,2306020001
438,بهنام وسط شمالی,8,435,695,2306030003
439,بهنام وسطجنوبی,8,435,180,2306020002
440,بهنمیر,27,56,112,216030001
441,بهی دهبکری,2,89,375,410010003
442,بهی فیض اله بیگی,2,89,658,410020004
443,بی بالان,25,219,492,107050001
444,بی بی حکیمه,23,360,898,1703020003
445,بی بی سکینه,8,397,412,2317020001
446,بیابان,29,266,999,2212020001
447,بیابانک,4,171,604,1023010001
448,بیات,28,236,1070,6040002
449,بیارجمند,15,270,113,2003020001
450,بیاض,21,44,49,820010001
451,بیجنوند,6,146,306,1604050001
452,بیدزرد,17,283,838,707050001
453,بیدشهر,17,47,114,736020001
454,بیدک,17,2,821,701040003
455,بیرانوندجنوبی,26,157,115,1503030001
456,بیرانوندشمالی,26,157,115,1503030002
457,بیرک,16,408,811,1113010002
458,بیرم,17,373,116,711050002
459,بیرون بشم,27,142,583,220030001
460,بیزکی,11,148,536,918010001
461,بیساران,20,250,864,1209020002
462,بیشه سر,27,317,969,210020002
463,بیضاء,17,100,824,731010001
464,بیکاه,29,216,118,2207040001
465,بیگم قلعه,2,423,672,409020001
466,بیلری,16,152,129,1103040002
467,بیلوار,20,334,868,1208010001
468,بینالود,11,432,743,917040005
469,بیونیج,22,176,905,513020002
470,بیهق,11,237,393,908060001
471,پاتاوه,23,192,121,1704010001
472,پاچه لک شرقی,26,41,946,1501030003
473,پاچه لک غربی,26,27,945,1507020001
474,پادناسفلی,4,257,122,1005010001
475,پادناعلیا,4,257,123,1005030001
476,پادناوسطی,4,257,122,1005010003
477,پارسینه,22,258,908,505010008
478,پارمون,29,75,526,2213030002
479,پارود,16,202,124,1108050001
480,پاریز,21,264,125,806020001
481,پازوار,27,56,291,216040001
482,پاسخن,17,175,439,705060002
483,پاقلعه,21,279,882,807010002
484,پالیزان,24,390,927,2712010002
485,پایگلان,20,250,864,1209020003
486,پایین برزند,3,365,52,2405010003
487,پایین جوین,11,131,1090,934020001
488,پایین خواف,11,169,359,919010001
489,پایین خیابان لیتکوه,27,14,955,201020002
490,پایین رخ,11,117,170,905070002
491,پایین طالقان,5,289,621,3004010002
492,پایین ولایت,11,114,718,904020001
493,پایین ولایت,11,117,720,905060002
494,پایین ولایت,11,333,737,914040002
495,پایین ولایت,11,396,284,916060002
496,پترگان,10,232,710,2909010001
497,پراشکفت,17,401,181,713060002
498,پرزیتون,17,314,1051,709040001
499,پس کلوت,11,369,740,915020001
500,پساکوه,11,340,308,928010001
501,پسکوه,10,318,334,2904050002
502,پسکوه,16,263,807,1114010002
503,پسیخان,25,211,933,105050001
504,پشت آربابا,20,62,6,1201010001
505,پشت پر,17,137,374,704020001
506,پشت تنگ,22,244,907,504010001
507,پشت دربند,22,339,119,502080002
508,پشت رود,21,420,891,821010001
509,پشتکوه,7,185,106,1803050002
510,پشتکوه,8,315,691,2314020001
511,پشتکوه,9,23,696,1405010001
512,پشتکوه,9,377,441,1404010003
513,پشتکوه,15,405,402,2005010001
514,پشتکوه,16,152,129,1103040001
515,پشتکوه,27,233,210,207010001
516,پشتکوه رستم,17,210,361,726010002
517,پشتکوه موگویی,4,306,610,1007010002
518,پشته ذیلایی,23,145,348,1706020002
519,پل به بالا,17,137,374,704020002
520,پل به پایین,17,137,374,704020003
521,پل خاتون,11,246,582,920010001
522,پل دوآب,28,269,307,7030001
523,پلان,16,143,131,1102040001
524,پلنگ آباد,5,34,132,3005020001
525,پلنگا,3,162,385,2403030001
526,پلنگانه,22,134,904,509030001
527,پنج هزاره,27,96,958,204020003
528,پنجک رستاق,27,427,478,215020001
529,پنجه علی جنوبی,20,321,867,1205020003
530,پنجه علی شمالی,20,321,867,1205020002
531,پی رجه,27,424,974,219010001
532,پی وشک,29,130,570,2206030001
533,پیان,13,51,756,604030001
534,پیراکوه,11,136,722,936010002
535,پیران,2,111,660,402010001
536,پیربازار,25,211,933,105050002
537,پیرتاج,20,98,204,1202010002
538,پیرحاجات,10,290,712,2911020001
539,پیرسلیمان,30,29,134,1306020001
540,پیرسهراب,16,143,797,1102020001
541,پیرکوه,25,262,272,115010001
542,پیریوسفیان,18,40,853,2605020001
543,پیشخور,30,300,135,1309020001
544,پیشکوه,10,318,713,2904020001
545,پیشکوه,31,119,1017,2103020001
546,پیشکوه ذلقی,26,41,275,1501040001
547,پیشکوه موگویی,4,306,610,1007010003
548,پیشوا,8,112,685,2318010001
549,پیشین,16,202,137,1108010001
550,پیغان چایی,1,343,647,315020002
551,پیوه ژن,11,396,16,916010002
552,تاررود,8,191,687,2302020003
553,تازه کند,3,103,138,2406030002
554,تازه کند,1,115,236,303040001
555,تازیان,29,82,992,2202040002
556,تالارپی,27,267,139,226020001
557,تبادکان,11,396,741,916050001
558,تتارستاق,27,426,92,214010002
559,تجن,11,246,732,920020001
560,تخت,29,82,140,2202050001
561,تخت جلگه,11,316,735,933010001
562,تختان,6,196,337,1603040001
563,ترجان,20,252,865,1203020001
564,ترک شرقی,30,398,1009,1302030008
565,ترک غربی,30,398,183,1302010003
566,ترکمان,2,26,656,401040006
567,ترگور,2,26,373,401020001
568,تشان,7,133,301,1809010003
569,تشان شرقی,13,95,144,606040001
570,تشان غربی,13,95,144,606040002
571,تشکن,26,147,198,1510010001
572,تشویر,14,288,555,1908030002
573,تفتان جنوبی,16,120,796,1121010002
574,تکاب,11,179,728,907030001
575,تکاب,11,354,81,941020002
576,تکاب,21,338,400,808020002
577,تکاب کوه میش,11,237,393,908060002
578,تکمران,12,284,340,2804010001
579,تل بزان,13,394,541,613040001
580,تلخاب,23,58,105,1707020002
581,تلخاب,28,302,244,13020002
582,تلنگ,16,325,145,1118030001
583,تمبک,7,346,681,1806020005
584,تمبی گلگیر,13,394,541,613040002
585,تمران,24,342,922,2709020002
586,تمشکل,27,123,1062,205030001
587,تموغه,20,252,865,1203020002
588,تمین,16,415,557,1117020001
589,تنب,29,17,146,2201010001
590,تنکمان جنوبی,5,422,147,3003020001
591,تنکمان شمالی,5,422,147,3003020002
592,تنگ چنار,31,409,1019,2104010002
593,تنگ نارک,17,167,830,724020001
594,تنگ هفت,26,157,120,1503020006
595,تنگه سلیمان,27,233,497,207050001
596,توابع کجور,27,427,478,215020002
597,توت نده,23,192,896,1704030001
598,توتان ومهمدان,16,433,98,1107010002
599,توتکی,25,262,937,115020001
600,توجردی,17,245,836,732010001
601,تودشک,4,37,510,1002020002
602,توس,11,396,741,916050002
603,توسکاچشمه,27,367,971,222020001
604,توکهور,29,416,148,2205040001
605,تولم,25,287,149,108010001
606,تویه دروار,15,177,47,2001010003
607,تهلاب,16,415,303,1117030002
608,تهم,14,230,783,1904050005
609,تیاب,29,416,1001,2205030002
610,تیتکانلو,12,298,230,2805010001
611,تیرجرد,31,16,1012,2107020001
612,تیرچایی,1,413,502,310030001
613,تیلکوه,20,252,43,1203040002
614,تیمورآباد,16,437,151,1116020001
615,تیمورلو,1,5,548,321010001
616,جابرانصار,6,3,627,1606020003
617,جاپلق شرقی,26,27,153,1507010001
618,جاپلق غربی,26,27,153,1507010002
619,جاجرود,8,108,154,2320020001
620,جارو,5,34,132,3005020002
621,جازموریان,21,218,155,815010001
622,جاسب,28,190,982,5010003
623,جاستون شهه,13,374,214,617020001
624,جاسک,29,130,995,2206020001
625,جاغرق,11,102,421,932010002
626,جالق,16,240,156,1106010001
627,جامرود,11,116,719,906020003
628,جاورسیان,28,168,452,12010002
629,جاویدماهوری,17,401,850,713030004
630,جایدر,26,109,948,1508010001
631,جایدشت,17,314,841,709030003
632,جایزان,13,43,157,616010001
633,جبل,4,37,510,1002020003
634,جراحی,13,85,761,605020001
635,جرجافک,21,227,880,805020002
636,جرقویه سفلی,4,37,160,1002010001
637,جرقویه علیا,4,37,161,1002040001
638,جرقویه وسطی,4,37,160,1002010003
639,جرگلان,12,201,162,2808030001
640,جره,13,205,297,610030001
641,جره,17,331,163,710010001
642,جزیره,1,31,57,322010002
643,جزیره مینو,13,160,1054,607020001
644,جزین,11,64,716,931010002
645,جزینک,16,231,165,1110010001
646,جعفرآباد,19,327,166,2501010001
647,جعفربای جنوبی,24,118,918,2702020001
648,جعفربای شرقی,24,368,537,2713020001
649,جعفربای غربی,24,368,925,2713010001
650,جغتای,11,131,721,934010001
651,جغین جنوبی,29,216,167,2207030002
652,جغین شمالی,29,216,167,2207030001
653,جفال,13,268,769,611010003
654,جکدان,29,75,991,2213010001
655,جکیگور,16,202,801,1108030004
656,جگیران,22,244,907,504010008
657,جلال وند,22,339,448,502030001
658,جلگاه,17,137,826,704040001
659,جلگه,4,366,613,1011010001
660,جلگه,11,69,401,923030001
661,جلگه,30,29,1002,1306010003
662,جلگه,31,92,1016,2111020001
663,جلگه چاه هاشم,16,189,169,1112020001
664,جلگه ماژان,10,172,174,2910020002
665,جلگه موسی آباد,11,116,719,906020004
666,جلوگیر,26,109,948,1508010002
667,جلیل آباد,8,112,175,2318020001
668,جم,7,133,675,1809020001
669,جمال آباد,8,106,392,2313010001
670,جمال الدین,5,422,624,3003010002
671,جمع آبرود,8,191,687,2302020004
672,جناح,29,74,176,2209010001
673,جنت آباد,11,285,178,940020001
674,جنت رودبار,27,203,251,206020001
675,جنت مکان,13,359,773,620020001
676,جندق,4,171,604,1023010002
677,جنگل,11,212,179,927010001
678,جنگل,17,309,840,708030001
679,جواران,21,200,1093,818020002
680,جوانمردی,9,153,699,1410010002
681,جور,21,351,889,814020001
682,جوزار,17,401,181,713060001
683,جوزان,30,398,1009,1302030001
684,جوزدان,4,419,617,1014020001
685,جوزم,21,279,267,807020001
686,جوستان,5,289,70,3004020001
687,جوشان,21,338,535,808030001
688,جوشق,28,190,982,5010004
689,جوشقان قالی,4,332,465,1010020001
690,جوشین,1,436,225,324010002
691,جوقین,8,282,182,2309030001
692,جوکار,30,398,183,1302010004
693,جون آباد,16,415,557,1117020003
694,جونقان,9,297,185,1403040001
695,جویم,17,373,186,711020002
696,جهاد,13,150,544,625020002
697,جهادآباد,21,296,883,812010002
698,جهان آباد,16,447,816,1111010003
699,جهانگیری,13,394,775,613030001
700,جهانگیری شمالی,13,394,775,613030002
701,جهلیان,16,345,810,1109020001
702,جی,4,37,596,1002030003
703,جیحون دشت,30,443,391,1304050001
704,جیرانسو,12,384,751,2806030001
705,جیرده,25,274,938,112020001
706,جیرستان,12,284,340,2804010002
707,جیرنده,25,217,429,106020001
708,جیرهنده لشت نشاء,25,211,564,105040001
709,چاپارخانه,25,211,242,105010002
710,چاراویماق جنوب شرقی,1,140,379,323010001
711,چاراویماق جنوب غربی,1,140,642,323020001
712,چاراویماق شرقی,1,140,379,323010002
713,چاراویماق شمالشرقی,1,440,653,311020006
714,چاراویماق مرکزی,1,140,642,323020002
715,چاشم,15,405,402,2005010002
716,چاف,25,380,943,110010001
717,چالانچولان,26,193,372,1505010001
